PRODUCTID,LOCATIONID,ZONEID,PRODUCTCATEGORYID,DIVISIONID,SOURCEID,EFFECTIVEDATE,PREVIOUSPRICE,PREVIOUSMULTIPLE,NEWPRICE,NEWMULTIPLE,CURRENTRETAILPRICE,CURRENTRETAILMULTIPLE,OVERRIDEPRICE,OVERRIDEMULTIPLE,COST,COMP1ID,COMP1PRICE,COMP2ID,COMP2PRICE,COMP3ID,COMP3PRICE,VOLUME,REVENUE,GROSSMARGIN,ISLOCKED,RULEEXCEPTION
171808,77,6,201,0,1169,2015-04-19 00:00:00.0,0.6100,1,0.6400,1,0.6100,1,,0,0.5000,0,,0,,0,,88.8144,56.8412,12.4340,0,0
239507,80,6,201,0,1169,2015-04-19 00:00:00.0,1.3800,1,1.4200,1,1.3800,1,,0,0.9800,0,,0,,0,,340.4470,483.4348,149.7967,0,0
239507,84,6,201,0,1169,2015-04-19 00:00:00.0,1.3800,1,1.4200,1,1.3800,1,,0,0.9800,0,,0,,0,,363.0659,515.5536,159.7490,0,0
239507,93,6,201,0,1169,2015-04-19 00:00:00.0,1.3800,1,1.4200,1,1.3800,1,,0,0.9800,0,,0,,0,,254.5894,361.5170,112.0194,0,0
239507,47,13,201,0,1169,2015-04-19 00:00:00.0,1.2500,1,1.3400,1,1.2500,1,,0,0.9800,0,,0,,0,,122.5449,164.2102,44.1162,0,0
239507,101,13,201,0,1169,2015-04-19 00:00:00.0,1.2500,1,1.3400,1,1.2500,1,,0,0.9800,0,,0,,0,,149.3299,200.1020,53.7588,0,0
239507,30,14,201,0,1169,2015-04-19 00:00:00.0,1.2500,1,1.1600,1,1.2500,1,,0,0.9800,0,,0,,0,,114.6074,132.7305,20.4153,0,0
239507,2,20,201,0,1169,2015-04-19 00:00:00.0,1.2500,1,1.0600,1,1.2500,1,,0,0.9800,0,,0,,0,,0.3559,0.3773,0.0285,0,0
239507,33,20,201,0,1169,2015-04-19 00:00:00.0,1.2500,1,1.0600,1,1.2500,1,,0,0.9800,0,,0,,0,,18.3086,19.4071,1.4647,0,0
239507,70,20,201,0,1169,2015-04-19 00:00:00.0,1.2500,1,1.0600,1,1.2500,1,,0,0.9800,0,,0,,0,,280.5630,297.3968,22.4450,0,0
239507,82,20,201,0,1169,2015-04-19 00:00:00.0,1.2500,1,1.0600,1,1.2500,1,,0,0.9800,0,,0,,0,,163.0121,172.7928,13.0410,0,0
239507,41,5,201,0,1169,2015-04-19 00:00:00.0,1.3800,1,1.2800,1,1.3800,1,,0,0.9800,0,,0,,0,,133.0134,170.2572,39.9040,0,0
239507,49,5,201,0,1169,2015-04-19 00:00:00.0,1.3800,1,1.2800,1,1.3800,1,,0,0.9800,0,,0,,0,,105.4065,134.9204,31.6220,0,0
239507,55,5,201,0,1169,2015-04-19 00:00:00.0,1.3800,1,1.2800,1,1.3800,1,,0,0.9800,0,,0,,0,,115.8283,148.2602,34.7485,0,0
239507,39,6,201,0,1169,2015-04-19 00:00:00.0,1.3800,1,1.4200,1,1.3800,1,,0,0.9800,0,,0,,0,,156.6717,222.4738,68.9356,0,0
239507,48,6,201,0,1169,2015-04-19 00:00:00.0,1.3800,1,1.4200,1,1.3800,1,,0,0.9800,0,,0,,0,,300.0096,426.0136,132.0042,0,0
239507,54,6,201,0,1169,2015-04-19 00:00:00.0,1.3800,1,1.4200,1,1.3800,1,,0,0.9800,0,,0,,0,,208.6901,296.3400,91.8237,0,0
239507,56,6,201,0,1169,2015-04-19 00:00:00.0,1.3800,1,1.4200,1,1.3800,1,,0,0.9800,0,,0,,0,,135.4625,192.3568,59.6035,0,0
239507,77,6,201,0,1169,2015-04-19 00:00:00.0,1.3800,1,1.4200,1,1.3800,1,,0,0.9800,0,,0,,0,,145.8734,207.1402,64.1843,0,0
243775,33,20,201,0,1169,2015-04-19 00:00:00.0,0.5500,1,0.5800,1,0.5500,1,,0,0.4583,0,,0,,0,,69.4030,40.2537,8.4463,0,0
243775,70,20,201,0,1169,2015-04-19 00:00:00.0,0.5500,1,0.5800,1,0.5500,1,,0,0.4583,0,,0,,0,,68.4639,39.7091,8.3321,0,0
243775,82,20,201,0,1169,2015-04-19 00:00:00.0,0.5500,1,0.5800,1,0.5500,1,,0,0.4583,0,,0,,0,,172.5524,100.0804,20.9996,0,0
243775,41,5,201,0,1169,2015-04-19 00:00:00.0,0.6100,1,0.6400,1,0.6100,1,,0,0.4583,0,,0,,0,,34.8923,22.3311,6.3399,0,0
243775,49,5,201,0,1169,2015-04-19 00:00:00.0,0.6100,1,0.6400,1,0.6100,1,,0,0.4583,0,,0,,0,,103.9762,66.5447,18.8925,0,0
243775,10,6,201,0,1169,2015-04-19 00:00:00.0,0.6100,1,0.6400,1,0.6100,1,,0,0.4583,0,,0,,0,,134.5018,86.0811,24.4390,0,0
243775,39,6,201,0,1169,2015-04-19 00:00:00.0,0.6100,1,0.6400,1,0.6100,1,,0,0.4583,0,,0,,0,,61.3611,39.2711,11.1493,0,0
243775,48,6,201,0,1169,2015-04-19 00:00:00.0,0.6100,1,0.6400,1,0.6100,1,,0,0.4583,0,,0,,0,,255.3133,163.4005,46.3904,0,0
243775,54,6,201,0,1169,2015-04-19 00:00:00.0,0.6100,1,0.6400,1,0.6100,1,,0,0.4583,0,,0,,0,,52.6071,33.6685,9.5587,0,0
243775,77,6,201,0,1169,2015-04-19 00:00:00.0,0.6100,1,0.6400,1,0.6100,1,,0,0.4583,0,,0,,0,,120.4540,77.0905,21.8865,0,0
243775,80,6,201,0,1169,2015-04-19 00:00:00.0,0.6100,1,0.6400,1,0.6100,1,,0,0.4583,0,,0,,0,,745.2331,476.9492,135.4089,0,0
243775,84,6,201,0,1169,2015-04-19 00:00:00.0,0.6100,1,0.6400,1,0.6100,1,,0,0.4583,0,,0,,0,,548.6641,351.1450,99.6923,0,0
243775,93,6,201,0,1169,2015-04-19 00:00:00.0,0.6100,1,0.6400,1,0.6100,1,,0,0.4583,0,,0,,0,,143.0331,91.5412,25.9891,0,0
243775,5,13,201,0,1169,2015-04-19 00:00:00.0,0.5500,1,0.5800,1,0.5500,1,,0,0.4583,0,,0,,0,,81.7787,47.4316,9.9525,0,0
243775,47,13,201,0,1169,2015-04-19 00:00:00.0,0.5500,1,0.5800,1,0.5500,1,,0,0.4583,0,,0,,0,,84.5890,49.0616,10.2945,0,0
243775,101,13,201,0,1169,2015-04-19 00:00:00.0,0.5500,1,0.5800,1,0.5500,1,,0,0.4583,0,,0,,0,,173.1104,100.4040,21.0675,0,0
243775,30,14,201,0,1169,2015-04-19 00:00:00.0,0.5500,1,0.5600,1,0.5500,1,,0,0.4583,0,,0,,0,,289.0549,161.8707,29.3969,0,0
171740,48,6,201,0,1169,2015-04-19 00:00:00.0,0.9100,1,0.9600,1,0.9100,1,,0,0.7000,0,,0,,0,,220.5956,211.7718,57.3549,0,0
171740,80,6,201,0,1169,2015-04-19 00:00:00.0,0.9100,1,0.9600,1,0.9100,1,,0,0.7000,0,,0,,0,,640.2145,614.6059,166.4558,0,0
171740,84,6,201,0,1169,2015-04-19 00:00:00.0,0.9100,1,0.9600,1,0.9100,1,,0,0.7000,0,,0,,0,,371.3111,356.4586,96.5409,0,0
171740,93,6,201,0,1169,2015-04-19 00:00:00.0,0.9100,1,0.9600,1,0.9100,1,,0,0.7000,0,,0,,0,,219.4446,210.6669,57.0556,0,0
171740,30,14,201,0,1169,2015-04-19 00:00:00.0,0.7300,1,0.7400,1,0.7300,1,,0,0.7000,0,,0,,0,,186.6200,137.1828,6.5488,0,0
233477,70,20,201,0,1169,2015-04-19 00:00:00.0,0.6100,1,0.6700,1,0.6100,1,,0,0.5937,0,,0,,0,,2366.2983,1585.4199,180.5486,0,0
233477,82,20,201,0,1169,2015-04-19 00:00:00.0,0.6100,1,0.6700,1,0.6100,1,,0,0.5937,0,,0,,0,,2649.8342,1775.3889,202.1823,0,0
233477,41,5,201,0,1169,2015-04-19 00:00:00.0,0.6100,1,0.6700,1,0.6100,1,,0,0.5937,0,,0,,0,,131.5787,88.1577,10.0395,0,0
233477,49,5,201,0,1169,2015-04-19 00:00:00.0,0.6100,1,0.6700,1,0.6100,1,,0,0.5937,0,,0,,0,,211.5803,141.7588,16.1436,0,0
233477,55,5,201,0,1169,2015-04-19 00:00:00.0,0.6100,1,0.6700,1,0.6100,1,,0,0.5937,0,,0,,0,,225.3527,150.9863,17.1944,0,0
233477,10,6,201,0,1169,2015-04-19 00:00:00.0,0.6100,1,0.6700,1,0.6100,1,,0,0.5937,0,,0,,0,,580.5875,388.9936,44.2988,0,0
233477,39,6,201,0,1169,2015-04-19 00:00:00.0,0.6100,1,0.6700,1,0.6100,1,,0,0.5937,0,,0,,0,,253.1016,169.5781,19.3117,0,0
233477,48,6,201,0,1169,2015-04-19 00:00:00.0,0.6100,1,0.6700,1,0.6100,1,,0,0.5937,0,,0,,0,,525.2823,351.9391,40.0790,0,0
233477,54,6,201,0,1169,2015-04-19 00:00:00.0,0.6100,1,0.6700,1,0.6100,1,,0,0.5937,0,,0,,0,,295.4321,197.9395,22.5415,0,0
233477,56,6,201,0,1169,2015-04-19 00:00:00.0,0.6100,1,0.6700,1,0.6100,1,,0,0.5937,0,,0,,0,,314.2479,210.5461,23.9771,0,0
233477,77,6,201,0,1169,2015-04-19 00:00:00.0,0.6100,1,0.6700,1,0.6100,1,,0,0.5937,0,,0,,0,,319.3966,213.9957,24.3700,0,0
233477,80,6,201,0,1169,2015-04-19 00:00:00.0,0.6100,1,0.6700,1,0.6100,1,,0,0.5937,0,,0,,0,,626.5309,419.7757,47.8043,0,0
233477,84,6,201,0,1169,2015-04-19 00:00:00.0,0.6100,1,0.6700,1,0.6100,1,,0,0.5937,0,,0,,0,,447.5127,299.8335,34.1452,0,0
233477,93,6,201,0,1169,2015-04-19 00:00:00.0,0.6100,1,0.6700,1,0.6100,1,,0,0.5937,0,,0,,0,,619.7519,415.2337,47.2871,0,0
233477,5,13,201,0,1169,2015-04-19 00:00:00.0,0.6100,1,0.6700,1,0.6100,1,,0,0.5937,0,,0,,0,,886.6162,594.0329,67.6488,0,0
233477,47,13,201,0,1169,2015-04-19 00:00:00.0,0.6100,1,0.6700,1,0.6100,1,,0,0.5937,0,,0,,0,,696.2880,466.5129,53.1268,0,0
233477,101,13,201,0,1169,2015-04-19 00:00:00.0,0.6100,1,0.6700,1,0.6100,1,,0,0.5937,0,,0,,0,,1662.5142,1113.8845,126.8498,0,0
233477,30,14,201,0,1169,2015-04-19 00:00:00.0,0.6100,1,0.6400,1,0.6100,1,,0,0.5937,0,,0,,0,,545.4394,349.0812,25.2538,0,0
233477,2,20,201,0,1169,2015-04-19 00:00:00.0,0.6100,1,0.6700,1,0.6100,1,,0,0.5937,0,,0,,0,,2582.4072,1730.2128,197.0377,0,0
233477,33,20,201,0,1169,2015-04-19 00:00:00.0,0.6100,1,0.6700,1,0.6100,1,,0,0.5937,0,,0,,0,,477.6228,320.0073,36.4426,0,0
233499,70,20,201,0,1169,2015-04-19 00:00:00.0,1.5300,1,1.4100,1,1.5300,1,,0,1.1283,0,,0,,0,,117.2938,165.3843,33.0417,0,0
233499,82,20,201,0,1169,2015-04-19 00:00:00.0,1.5300,1,1.4100,1,1.5300,1,,0,1.1283,0,,0,,0,,54.6857,77.1068,15.4049,0,0
233499,49,5,201,0,1169,2015-04-19 00:00:00.0,1.6100,1,1.6700,1,1.6100,1,,0,1.1283,0,,0,,0,,63.4161,105.9049,34.3525,0,0
